Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
"Congo, Dem. Rep.",1995,0.6999988297943958,17461535.0,9.373601552689586,16.864006974389397,8.624429,,3.4280686026840397,25.791997311954084,19.902285349559897,56.54398925588855,71.47328280090545,52.20853141779791,6.740504684656595,
"Congo, Dem. Rep.",1996,-1.0231726419992242,17598922.0,27.851817009108444,32.35395775286417,8.736875,8.838558515348657,3.461862668657239,33.52092022928188,20.233534078987933,33.26198153783944,71.02958834209308,60.31625674341448,,-2.68281292915344
"Congo, Dem. Rep.",1997,-5.617046598700881,17661193.0,2.5000000312500004,21.250000265625,8.26749,6.250000078125001,3.4250993971217176,29.926249124078115,19.288183195813993,47.50000059375001,72.44432704854133,33.750000421875,,
"Congo, Dem. Rep.",1998,-1.62415404478989,17975241.0,2.100000021021232,20.445650311270885,8.106169,5.943002491946892,3.4075356453422803,30.986294467274895,19.086218089733542,46.499967432106104,72.80761618683333,62.67930672658692,,-2.84785175323486
"Congo, Dem. Rep.",1999,-4.270140831133503,18457645.0,3.0690106706595617,18.71444886392152,7.798111,5.014597360983211,3.3912681512477714,28.294471856306586,18.22415479715277,52.36616492686649,73.97774122098137,41.17766081915286,,
"Congo, Dem. Rep.",2000,-6.910927316521011,18972844.0,14.433496333940637,22.40570630271374,7.479929,9.90831810404657,3.468932617316392,44.5134186173392,18.46593714338788,31.972358265241464,74.05413361823378,27.014402922756858,3.423081396698608,-2.47423815727234
"Congo, Dem. Rep.",2001,-2.1001730248884627,19559968.0,6.704140751736462,30.01626654754734,7.389514,19.80768858467591,3.586416467576675,34.545000120412595,17.267651419959925,32.87090402004475,75.34283312370117,25.041937513839134,2.8574081289554107,
"Congo, Dem. Rep.",2002,2.9477651835976673,20178951.0,7.435791082934255,32.61833688380493,7.502995,21.216790556639076,3.610983880092158,38.0515982890655,17.808148778892676,26.58377932049918,74.68886380842997,29.316845642982127,2.9172580390146274,-1.97592794895172
"Congo, Dem. Rep.",2003,5.577822311444237,20775195.0,9.524554843389806,28.85793840697879,7.617797,18.29840585675874,3.581292242464592,41.988809547026854,18.588807988461667,26.05383880660671,73.79339580736794,54.03135617764191,3.1607449476306644,-2.02786993980408
"Congo, Dem. Rep.",2004,6.73837393324294,21399275.0,12.256920548990792,31.782423494150258,7.940669,17.641505835784642,3.6150135346714016,40.17397566230398,19.129973975504676,23.87935949082438,72.92936316305541,49.33641462549942,5.062810532866037,-2.38776421546936
